USERID,INCOME,ENTERTAINMENT,BABY,GENDER,SHOPPING
286.000,2,6,0,2,4
287.000,3,3,0,1,9
288.000,1,1,1,2,1
289.000,2,1,1,2,2
290.000,3,3,0,1,9
291.000,2,1,1,2,7
292.000,2,2,0,1,6
293.000,2,6,0,1,5
294.000,3,1,0,1,1
295.000,2,1,1,2,2
296.000,1,1,0,2,5
297.000,2,6,0,2,8
298.000,3,3,0,1,9
299.000,3,2,0,2,1
300.000,3,3,0,2,9
301.000,2,1,1,2,2
302.000,1,5,0,2,2
303.000,1,2,0,2,5
304.000,1,4,0,2,1
305.000,1,1,0,2,1
306.000,3,4,0,1,7
307.000,1,3,0,1,7
308.000,1,5,0,2,4
309.000,2,2,0,2,9
310.000,2,1,1,2,7
311.000,3,3,0,1,9
312.000,1,4,0,1,3
313.000,2,1,1,2,2
314.000,3,5,0,2,4
315.000,2,1,0,1,9
316.000,2,4,0,2,6
317.000,3,3,0,1,4
318.000,2,6,0,2,6
319.000,1,5,0,2,3
320.000,1,6,0,2,9
321.000,3,6,0,2,9
322.000,2,1,1,2,2
323.000,1,2,0,2,5
324.000,2,6,0,2,1
325.000,1,1,0,2,8
326.000,2,2,0,2,9
327.000,2,5,0,2,2
328.000,3,3,0,1,9
329.000,3,3,0,1,9
330.000,2,1,1,2,7
331.000,3,3,0,1,9
332.000,2,6,0,1,9
333.000,1,3,0,1,8
334.000,1,3,0,1,5
335.000,2,6,0,1,1
336.000,2,1,0,1,5
337.000,3,3,0,1,9
338.000,2,1,1,2,2
339.000,1,1,0,2,1
340.000,1,5,0,2,9
341.000,2,1,1,2,2
342.000,1,3,0,2,8
343.000,2,1,0,1,1
344.000,3,6,0,1,9
345.000,2,4,0,2,2
346.000,2,1,1,2,2
347.000,3,5,0,1,8
348.000,3,1,0,1,2
349.000,2,2,0,1,5
350.000,3,3,0,1,7
351.000,2,6,0,2,9
352.000,3,6,0,1,9
353.000,2,3,0,2,5
354.000,3,3,0,1,4
355.000,3,5,0,1,8
356.000,2,5,0,1,1
357.000,1,1,1,2,1
358.000,3,3,0,1,6
359.000,1,5,0,1,4
360.000,1,2,1,1,5
361.000,2,6,0,2,10
362.000,3,3,0,1,9
363.000,3,3,0,1,9
364.000,3,2,0,2,9
365.000,1,5,0,2,2
366.000,1,4,0,2,6
367.000,2,3,0,2,9
368.000,1,5,0,2,1
369.000,2,3,0,2,6
370.000,3,5,0,2,7
371.000,2,1,1,2,2
372.000,3,4,0,2,1
373.000,1,5,0,1,6
374.000,3,3,0,1,9
375.000,3,3,0,1,9
376.000,1,3,0,1,1
377.000,3,6,0,1,9
378.000,2,1,0,1,7
379.000,1,2,1,1,5
380.000,3,4,0,1,7
381.000,2,6,0,2,3
382.000,2,1,1,2,2
383.000,2,1,1,2,7
384.000,2,1,1,2,2
385.000,1,4,0,1,4
386.000,2,3,0,1,5
387.000,3,3,0,1,9
388.000,1,5,0,2,5
389.000,2,1,0,2,7
390.000,1,1,0,2,3
391.000,2,6,0,1,5
392.000,3,3,0,1,9
393.000,2,1,0,2,6
394.000,1,4,0,2,5
395.000,3,5,0,2,9
396.000,3,1,0,2,3
397.000,3,3,0,1,9
398.000,2,3,0,2,9
399.000,2,4,0,2,6
400.000,2,5,0,2,6
401.000,1,1,0,2,4
402.000,2,1,1,2,2
403.000,1,2,0,1,5
404.000,2,1,1,2,7
405.000,2,4,0,2,1
406.000,3,4,0,1,8
407.000,2,2,0,1,5
408.000,2,5,0,2,1
409.000,3,3,0,1,9
410.000,1,2,1,1,5
411.000,3,1,0,2,3
412.000,2,1,0,1,5
413.000,2,1,1,2,2
414.000,3,3,0,1,9
415.000,3,6,0,2,9
416.000,2,4,0,1,10
417.000,3,1,0,1,6
418.000,3,2,0,1,5
419.000,2,1,1,2,2
420.000,1,1,1,2,1
421.000,1,3,0,1,2
422.000,2,1,1,2,2
423.000,2,2,0,2,4
424.000,2,3,0,1,1
425.000,1,1,0,1,9
426.000,2,6,0,1,5
427.000,2,2,0,1,5
428.000,1,2,1,1,5
429.000,2,2,0,2,10
430.000,2,1,0,1,8
431.000,2,6,0,1,5
432.000,3,3,0,1,9
433.000,3,3,0,1,9
434.000,1,3,0,1,8
435.000,1,4,0,2,6
436.000,2,1,1,2,2
437.000,3,2,0,2,5
438.000,2,7,0,1,5
439.000,2,1,1,2,7
440.000,2,1,0,2,10
441.000,2,5,0,1,1
442.000,2,3,0,1,8
443.000,1,1,0,2,2
444.000,3,3,0,1,9
445.000,2,1,0,2,10
446.000,2,5,0,2,3
447.000,2,1,1,2,2
448.000,2,4,0,1,3
449.000,2,1,1,2,2
450.000,2,1,1,2,7
451.000,2,3,0,2,1
452.000,3,3,0,2,1
453.000,3,3,0,1,9
454.000,1,4,0,1,8
455.000,1,3,0,1,7
456.000,2,1,1,2,7
457.000,1,2,0,1,6
458.000,2,6,0,1,9
459.000,2,1,1,2,2
460.000,1,2,0,1,4
461.000,3,3,0,2,1
462.000,1,6,0,2,4
463.000,1,2,0,1,3
464.000,2,5,0,1,8
465.000,3,3,0,1,9
466.000,2,1,1,2,2
467.000,2,1,1,2,7
468.000,2,1,1,2,7
469.000,1,3,0,2,3
470.000,2,3,0,2,6
471.000,2,6,0,2,9
472.000,3,2,0,2,1
473.000,2,2,0,1,5
474.000,2,1,1,2,2
475.000,3,1,0,1,5
476.000,3,3,0,2,10
477.000,1,3,0,2,1
478.000,3,3,0,1,9
479.000,3,3,0,1,9
480.000,3,1,0,1,5
481.000,2,3,0,1,6
482.000,1,5,0,1,1
483.000,2,1,1,2,2
484.000,3,3,0,1,9
485.000,3,3,0,1,9
486.000,2,1,1,2,2
487.000,3,5,0,1,3
488.000,1,1,0,1,10
489.000,1,1,0,2,5
490.000,3,3,0,1,9
491.000,1,3,0,1,8
492.000,1,2,1,1,5
493.000,2,6,0,1,2
494.000,2,1,0,1,5
495.000,1,3,0,1,9
496.000,2,2,0,1,5
497.000,2,1,1,2,2
498.000,1,1,0,2,4
499.000,2,1,1,2,2
500.000,3,3,0,1,9
501.000,1,3,0,2,6
502.000,2,5,0,2,4
503.000,2,1,1,2,2
504.000,2,1,1,2,7
505.000,1,5,0,2,6
506.000,1,4,0,2,9
507.000,3,3,0,1,9
508.000,3,6,0,2,7
509.000,2,6,0,1,2
510.000,2,3,0,1,10
511.000,3,3,0,1,9
512.000,2,1,1,2,7
513.000,2,1,1,2,2
514.000,3,5,0,1,10
515.000,1,1,0,1,7
516.000,3,1,0,2,3
517.000,2,1,0,1,5
518.000,2,1,1,2,7
519.000,2,1,1,2,2
520.000,1,2,1,1,5
521.000,3,1,0,1,4
522.000,2,5,0,1,8
523.000,1,3,0,2,4
524.000,1,5,0,2,7
525.000,2,3,0,2,8
526.000,3,1,0,2,3
527.000,3,2,0,1,5
528.000,2,3,0,2,9
529.000,1,3,0,2,7
530.000,1,6,0,2,1
531.000,3,3,0,1,9
532.000,1,2,0,2,7
533.000,3,6,0,2,5
534.000,1,2,1,2,4
535.000,1,2,1,1,5
536.000,2,1,1,2,2
537.000,3,3,0,2,8
538.000,2,1,1,2,7
539.000,3,2,0,2,5
540.000,3,4,0,2,10
541.000,3,3,0,1,1
542.000,2,1,1,2,2
543.000,1,4,0,1,10
544.000,2,2,0,1,2
545.000,1,2,0,1,5
546.000,2,1,1,2,2
547.000,2,2,0,1,5
548.000,2,1,1,2,2
549.000,3,1,0,1,5
550.000,2,1,1,2,7
551.000,2,6,0,1,3
552.000,3,3,0,1,9
553.000,2,6,0,1,5
554.000,2,1,0,1,2
555.000,2,1,1,2,2
556.000,3,6,0,1,1
557.000,2,1,0,1,7
558.000,3,3,0,1,9
559.000,3,3,0,1,9
560.000,2,1,0,1,9
561.000,3,1,0,1,10
562.000,2,1,1,2,7
563.000,3,3,0,2,7
564.000,2,3,0,2,8
565.000,3,3,0,1,9
566.000,2,5,0,2,9
567.000,3,3,0,1,9
568.000,2,1,1,2,7
569.000,3,2,0,2,2
570.000,3,1,0,2,6
571.000,1,5,0,2,5
572.000,3,3,0,1,9
573.000,2,1,1,2,7
574.000,1,4,0,2,4
575.000,2,1,1,2,7
576.000,2,1,0,1,10
577.000,1,4,0,1,6
578.000,2,5,0,2,3
579.000,2,1,1,2,2
580.000,2,2,0,1,8
581.000,1,5,0,1,8
582.000,2,1,1,2,7
583.000,2,1,1,2,2
584.000,2,4,0,1,10
585.000,3,3,0,1,9
586.000,3,3,0,1,9
587.000,1,2,0,1,4
588.000,3,1,0,2,1
589.000,2,1,1,2,2
590.000,2,3,0,1,8
591.000,1,3,0,1,3
592.000,2,1,1,2,2
593.000,2,1,1,2,2
594.000,3,2,0,1,9
595.000,2,6,0,1,5
596.000,3,6,0,2,5
597.000,2,1,1,2,7
598.000,2,1,1,2,2
599.000,1,4,0,1,8
600.000,1,3,0,2,5
601.000,1,1,0,2,8
602.000,2,4,0,1,3
603.000,2,2,0,1,4
604.000,2,3,0,2,7
605.000,2,3,0,2,3
606.000,2,3,0,2,3
607.000,3,3,0,1,9
608.000,2,4,0,2,3
609.000,3,1,0,1,1
610.000,1,5,0,1,6
611.000,2,2,0,1,5
612.000,3,3,0,1,9
613.000,3,3,0,1,9
614.000,3,3,0,1,6
615.000,3,2,0,2,2
616.000,2,2,0,1,5
617.000,2,2,0,2,9
618.000,3,3,0,1,9
619.000,1,5,0,2,3
620.000,2,1,0,1,5
621.000,2,3,0,2,1
622.000,2,5,0,1,9
623.000,3,3,0,2,3
624.000,2,1,1,2,2
625.000,3,1,0,2,4
626.000,2,6,0,2,4
627.000,3,6,0,1,4
628.000,2,1,0,1,5
629.000,2,3,0,2,10
630.000,1,5,0,2,7
631.000,1,1,0,2,1
632.000,3,3,0,1,9
633.000,2,2,0,2,1
634.000,3,3,0,1,9
635.000,3,3,0,1,9
636.000,2,1,1,2,2
637.000,2,5,0,1,3
638.000,2,2,0,1,2
639.000,2,1,1,2,2
640.000,2,1,0,1,1
641.000,3,3,0,1,9
642.000,2,3,0,2,7
643.000,2,6,0,1,8
644.000,2,1,1,2,2
645.000,1,3,0,1,5
646.000,3,3,0,2,1
647.000,3,5,0,2,5
648.000,2,1,1,2,2
649.000,2,1,1,2,2
650.000,2,3,0,1,6
651.000,3,3,0,1,9
652.000,2,4,0,1,4
653.000,2,1,1,2,7
654.000,2,6,0,2,8
655.000,3,3,0,1,9
656.000,2,6,0,1,6
657.000,3,1,0,1,1
658.000,1,3,0,2,2
659.000,2,5,0,2,7
660.000,2,2,0,1,5
661.000,3,3,0,1,9
662.000,1,4,0,2,4
663.000,2,1,1,2,7
664.000,2,1,0,1,5
665.000,2,6,0,2,9
666.000,2,1,1,2,2
667.000,1,4,0,2,4
668.000,2,4,0,2,9
669.000,3,3,0,1,9
670.000,2,1,1,2,2
671.000,3,6,0,2,1
672.000,3,1,0,2,2
673.000,2,1,0,1,5
674.000,3,3,0,1,9
675.000,2,1,0,1,6
676.000,1,4,0,1,8
677.000,3,3,0,1,9
678.000,3,6,0,1,2
679.000,1,2,0,1,4
680.000,3,3,0,1,9
681.000,3,4,0,1,2
682.000,1,3,0,1,3
683.000,3,3,0,1,9
684.000,3,3,0,1,9
685.000,3,3,0,1,9
686.000,2,1,1,2,2
687.000,3,3,0,1,9
688.000,2,2,0,1,4
689.000,1,1,0,2,1
690.000,2,3,1,2,8
691.000,2,2,0,2,4
692.000,2,1,1,2,2
693.000,3,4,0,2,1
694.000,2,1,1,2,2
695.000,2,1,0,1,5
696.000,1,3,0,2,3
697.000,3,4,0,2,8
698.000,2,1,0,2,7
699.000,2,5,0,2,5
700.000,1,4,0,2,2
701.000,2,1,0,1,5
702.000,1,6,0,2,10
703.000,2,1,1,2,7
704.000,3,6,0,1,8
705.000,2,1,1,2,2
706.000,2,1,0,2,6
707.000,3,3,0,1,9
708.000,1,2,1,1,5
709.000,2,1,1,2,7
710.000,3,3,0,1,9
711.000,2,1,1,2,2
712.000,2,4,0,1,5
713.000,2,6,0,1,6
714.000,3,4,0,1,7
715.000,2,1,1,2,2
716.000,2,1,1,2,2
717.000,3,3,0,1,9
718.000,3,4,0,1,5
719.000,3,3,0,1,9
720.000,3,3,0,1,9
721.000,2,1,1,2,2
722.000,3,3,0,1,9
723.000,2,1,1,2,7
724.000,3,1,0,2,9
725.000,2,6,0,1,5
726.000,3,1,0,2,8
727.000,2,4,0,2,9
728.000,3,2,0,1,8
729.000,3,3,0,1,9
730.000,2,6,0,2,7
731.000,2,1,1,2,2
732.000,2,1,1,2,7
733.000,2,1,0,1,5
734.000,2,7,0,1,5
735.000,2,5,0,1,6
736.000,2,1,1,2,2
737.000,1,4,0,2,5
738.000,2,2,0,2,4
739.000,2,1,0,1,5
740.000,3,2,0,2,8
741.000,2,4,0,2,4
742.000,3,5,0,1,2
743.000,2,1,1,2,2
744.000,2,3,0,2,6
745.000,2,1,1,2,2
746.000,2,1,1,2,2
747.000,3,3,0,1,9
748.000,2,1,1,2,2
749.000,3,5,0,2,8
750.000,2,6,0,1,4
751.000,2,1,1,2,2
752.000,2,1,1,2,2
753.000,2,1,0,2,7
754.000,2,1,1,2,2
755.000,3,3,0,1,9
756.000,3,3,0,1,9
757.000,3,3,0,1,9
758.000,1,6,0,1,10
759.000,2,1,1,2,2
760.000,2,6,0,1,5
761.000,2,6,0,2,5
762.000,1,3,0,2,8
763.000,2,1,0,1,5
764.000,1,1,0,2,10
765.000,2,1,1,2,7
766.000,3,3,0,1,9
767.000,2,6,0,1,5
768.000,2,2,0,1,5
769.000,1,3,0,1,10
770.000,2,2,0,1,5
771.000,3,1,0,1,7
772.000,3,3,0,1,9
773.000,3,3,0,1,9
774.000,2,1,1,2,2
775.000,2,1,1,2,2
776.000,1,1,1,2,1
777.000,1,1,0,1,9
778.000,1,2,1,1,5
779.000,2,3,0,1,1
780.000,1,1,0,1,4
781.000,3,3,0,1,9
782.000,2,5,0,1,8
783.000,3,2,0,1,3
784.000,2,1,1,2,2
785.000,2,1,1,2,7
786.000,2,1,1,2,2
787.000,1,6,0,1,3
788.000,3,3,0,1,9
789.000,2,4,0,2,4
790.000,3,4,0,1,2
791.000,3,2,0,2,5
792.000,3,1,0,2,6
793.000,3,1,0,2,5
794.000,3,2,0,1,6
795.000,3,2,0,2,3
796.000,2,3,0,2,3
797.000,2,1,1,2,2
798.000,2,4,0,2,9
799.000,3,3,0,1,9
800.000,2,1,1,2,2
801.000,3,1,0,2,9
802.000,2,5,0,2,1
803.000,2,1,0,1,5
804.000,3,3,0,1,9
805.000,1,2,1,2,4
806.000,2,4,0,1,6
807.000,1,3,0,2,9
808.000,2,1,1,2,7
809.000,2,1,1,2,2
810.000,1,2,0,2,6
811.000,1,2,1,1,5
812.000,2,2,0,1,3
813.000,2,1,1,2,2
814.000,2,2,0,1,8
815.000,1,6,0,2,8
816.000,3,1,0,1,5
817.000,3,2,0,1,6
818.000,2,4,0,1,10
819.000,2,1,1,2,2
820.000,2,5,0,1,10
821.000,3,4,0,2,2
822.000,1,2,1,1,5
823.000,3,1,0,2,9
824.000,1,3,0,2,7
825.000,2,5,0,1,5
826.000,2,5,0,2,1
827.000,1,6,0,2,6
828.000,3,3,0,1,9
829.000,2,1,1,2,2
830.000,1,6,0,1,6
831.000,2,1,1,2,2
832.000,3,4,0,1,6
833.000,1,6,0,1,5
834.000,1,5,0,2,1
835.000,2,1,1,2,2
836.000,3,1,0,2,1
837.000,3,5,0,2,9
838.000,3,4,0,2,4
839.000,2,6,0,2,7
840.000,1,4,0,2,2
841.000,2,3,0,2,1
842.000,1,6,0,2,4
843.000,2,1,1,2,2
844.000,2,1,1,2,2
845.000,3,2,0,2,2
846.000,2,4,0,2,8
847.000,1,6,0,1,9
848.000,3,2,0,1,7
849.000,3,3,0,1,9
850.000,1,2,1,1,5
851.000,3,3,0,1,9
852.000,1,6,0,1,2
853.000,1,6,0,2,6
854.000,2,2,0,1,5
855.000,2,1,1,2,2
856.000,1,2,0,2,4
857.000,2,1,1,2,2
858.000,2,1,0,1,6
859.000,2,6,0,1,3
860.000,3,5,0,1,8
861.000,3,5,0,1,9
862.000,1,1,0,1,7
863.000,3,2,0,1,7
864.000,1,6,0,1,1
865.000,3,6,0,1,5
866.000,2,1,1,2,2
867.000,1,6,0,1,7
868.000,2,1,0,2,1
869.000,3,3,0,2,6
870.000,3,1,0,2,4
871.000,2,1,1,2,2
872.000,2,3,0,2,4
873.000,1,6,0,1,10
874.000,3,4,0,2,7
875.000,3,2,0,2,7
876.000,2,1,1,2,2
877.000,2,1,1,2,2
878.000,2,1,0,1,5
879.000,2,3,0,1,1
880.000,1,6,0,1,5
881.000,1,6,0,2,6
882.000,2,6,0,2,3
883.000,2,1,1,2,2
884.000,2,3,0,2,4
885.000,2,5,0,2,1
886.000,2,1,0,1,1
887.000,3,3,0,1,7
888.000,2,5,0,1,3
889.000,3,2,0,1,7
890.000,2,6,0,1,3
891.000,1,2,0,1,5
892.000,2,1,1,2,2
893.000,2,5,0,2,6
894.000,3,3,0,1,9
895.000,3,3,0,1,9
896.000,3,3,0,1,9
897.000,2,1,0,1,4
898.000,2,1,1,2,7
899.000,2,1,1,2,2
900.000,1,2,0,1,1
901.000,3,3,0,1,9
902.000,2,2,0,1,4
903.000,1,3,0,1,9
904.000,2,1,0,1,9
905.000,3,1,0,2,4
906.000,2,5,0,1,1
907.000,1,6,0,1,5
908.000,1,1,0,1,2
909.000,2,6,0,2,1
910.000,1,1,0,2,1
911.000,3,6,0,2,2
912.000,2,5,0,2,6
913.000,1,1,0,2,8
914.000,1,2,0,2,9
915.000,3,3,0,1,9
916.000,3,3,0,1,9
917.000,1,1,1,2,1
918.000,1,1,0,2,9
919.000,2,1,1,2,7
920.000,2,5,0,1,8
921.000,1,3,0,2,7
922.000,3,5,0,2,4
923.000,1,6,0,1,7
924.000,1,1,0,1,2
925.000,2,1,1,2,2
926.000,3,3,0,1,9
927.000,3,3,0,1,9
928.000,2,2,0,2,5
929.000,2,4,0,1,6
930.000,2,1,1,2,7
931.000,3,2,0,1,3
932.000,2,5,0,1,4
933.000,3,2,0,1,6
934.000,3,3,0,1,9
935.000,2,1,1,2,2
936.000,2,1,1,2,2
937.000,1,2,0,1,5
938.000,1,4,0,2,8
939.000,2,6,0,2,5
940.000,1,2,1,2,4
941.000,2,1,0,2,10
942.000,1,4,0,1,5
943.000,3,4,0,1,10
944.000,3,3,0,1,4
945.000,2,1,1,2,2
946.000,2,1,0,1,5
947.000,3,6,0,2,6
948.000,2,1,0,1,1
949.000,2,2,0,2,6
950.000,2,3,0,2,1
951.000,2,1,0,2,10
952.000,2,1,1,2,2
953.000,3,6,0,1,2
954.000,2,1,1,2,7
955.000,1,1,0,1,4
956.000,1,6,0,1,1
957.000,3,3,0,1,9
958.000,2,6,0,1,9
959.000,2,5,0,2,10
960.000,2,2,0,2,1
961.000,3,3,0,1,9
962.000,2,1,1,2,2
963.000,2,4,0,1,5
964.000,2,1,0,1,8
965.000,3,3,0,1,2
966.000,2,1,0,2,4
967.000,1,3,0,1,4
968.000,3,3,0,1,9
969.000,1,1,0,1,3
970.000,3,3,0,1,9
971.000,1,5,0,1,2
972.000,1,5,0,1,4
973.000,2,1,1,2,2
974.000,2,1,1,2,2
975.000,2,2,0,1,5
976.000,3,3,0,1,9
977.000,1,6,0,2,2
978.000,1,1,1,2,1
979.000,2,1,0,1,5
980.000,3,6,0,2,6
981.000,2,1,1,2,2
982.000,3,5,0,1,7
983.000,1,1,0,1,1
984.000,1,3,0,1,10
985.000,1,5,0,2,2
986.000,2,1,1,2,2
987.000,2,1,1,2,7
988.000,2,1,1,2,7
989.000,1,1,0,2,2
990.000,3,3,0,1,9
991.000,2,6,0,2,7
992.000,2,1,1,2,2
993.000,3,6,0,1,4
994.000,2,4,0,1,6
