USERID,BEGIN_TIME,STARTLONGTITUDE,STARTLATITUDE,DURATION
2170.000,20140809193428,116.217,38.928,2.000
706.000,20140809102059,114.956,38.519,3.000
706.000,20140809111930,114.961,38.516,3.000
706.000,20140809120132,114.961,38.516,4.000
706.000,20140809130157,114.956,38.519,2.000
706.000,20140809140736,114.974,38.514,2.000
706.000,20140809163529,114.961,38.516,1.000
706.000,20140809172604,114.983,38.521,2.000
706.000,20140809182718,114.931,38.510,3.000
706.000,20140809190740,114.956,38.519,1.000
706.000,20140816120145,114.883,38.533,4.000
706.000,20140816133600,114.869,38.514,1.000
706.000,20140816165045,114.883,38.533,2.000
706.000,20140816172029,114.931,38.510,3.000
706.000,20140816183044,114.960,38.528,3.000
1821.000,20140809101710,116.066,39.092,3.000
1821.000,20140816101916,116.066,39.092,4.000
1821.000,20140816121604,116.044,39.108,2.000
1821.000,20140816131422,116.047,39.092,4.000
1821.000,20140816141249,116.044,39.108,4.000
1821.000,20140816151113,116.047,39.092,4.000
1821.000,20140816160940,116.044,39.108,4.000
1821.000,20140816170826,116.066,39.092,3.000
1821.000,20140816180702,116.047,39.092,4.000
1821.000,20140816190502,116.037,39.113,4.000
340.000,20140809143816,115.472,38.839,1.000
340.000,20140809154856,115.472,38.839,1.000
340.000,20140809194140,115.472,38.839,3.000
340.000,20140816105523,115.467,38.831,1.000
340.000,20140816114558,115.472,38.839,3.000
340.000,20140816120553,115.472,38.839,1.000
340.000,20140816183123,115.472,38.839,3.000
340.000,20140816191905,115.469,38.836,2.000
2171.000,20140809101834,115.318,38.421,2.000
2171.000,20140809114037,115.308,38.425,2.000
2171.000,20140809130406,115.322,38.406,1.000
2171.000,20140809141942,115.321,38.416,2.000
2171.000,20140809151817,115.319,38.427,2.000
2171.000,20140809162532,115.319,38.427,4.000
2171.000,20140809175912,115.339,38.417,3.000
2171.000,20140809181852,115.318,38.421,3.000
2171.000,20140816102926,115.309,38.410,2.000
2171.000,20140816111236,115.321,38.416,1.000
2171.000,20140816125356,115.309,38.410,3.000
2171.000,20140816134110,115.328,38.403,4.000
2171.000,20140816143106,115.321,38.416,3.000
2171.000,20140816150801,115.339,38.417,4.000
2171.000,20140816172808,115.322,38.406,4.000
2171.000,20140816183147,115.309,38.410,1.000
2172.000,20140809184908,115.780,38.690,2.000
2172.000,20140809191632,115.784,38.683,1.000
2172.000,20140816100756,115.784,38.683,4.000
2172.000,20140816113749,115.784,38.683,1.000
2172.000,20140816173418,115.784,38.683,1.000
2172.000,20140816185146,115.771,38.700,4.000
2172.000,20140816195123,115.767,38.694,3.000
1082.000,20140809105441,115.576,38.738,22.000
1082.000,20140809110119,115.638,38.717,33.000
1082.000,20140816103333,115.494,38.864,36.000
1082.000,20140816112757,115.502,38.861,25.000
1082.000,20140816124405,115.502,38.861,17.000
1082.000,20140816134648,115.504,38.858,15.000
1082.000,20140816144027,115.496,38.857,28.000
1082.000,20140816173545,115.502,38.861,39.000
1082.000,20140816194208,115.582,39.276,26.000
1822.000,20140809103433,115.313,38.450,4.000
1822.000,20140809113353,115.313,38.435,2.000
1822.000,20140809155200,115.323,38.405,2.000
1822.000,20140809160733,115.313,38.450,2.000
1822.000,20140816142804,115.335,38.425,2.000
1822.000,20140816154640,115.222,38.396,1.000
1822.000,20140816162932,115.210,38.370,1.000
1822.000,20140816174953,115.222,38.396,2.000
1822.000,20140816193637,115.222,38.396,4.000
1083.000,20140809103404,115.510,38.892,15.000
1083.000,20140809115226,115.468,38.897,38.000
1083.000,20140809120937,115.471,38.905,37.000
1083.000,20140809144550,115.476,38.911,21.000
1083.000,20140809151318,115.476,38.911,29.000
1083.000,20140809165347,115.471,38.905,24.000
1083.000,20140809170950,115.475,38.903,39.000
1083.000,20140809194345,115.468,38.897,21.000
1083.000,20140816102401,115.462,38.911,32.000
1083.000,20140816112935,115.351,38.869,22.000
1083.000,20140816123715,115.351,38.869,27.000
1083.000,20140816134427,115.351,38.869,32.000
1083.000,20140816143902,115.351,38.869,39.000
1083.000,20140816150336,115.351,38.869,36.000
1083.000,20140816161216,115.368,38.911,37.000
1083.000,20140816175339,115.351,38.869,37.000
1083.000,20140816184542,115.351,38.869,39.000
1083.000,20140816195514,115.351,38.869,23.000
1823.000,20140809114622,114.824,38.717,17.000
1823.000,20140809120150,114.975,38.775,29.000
1823.000,20140809164854,114.927,38.783,24.000
1823.000,20140809171526,114.896,38.793,39.000
1823.000,20140816114237,114.834,38.929,16.000
1823.000,20140816120051,114.868,38.876,37.000
1823.000,20140816134045,114.997,38.663,21.000
1823.000,20140816144743,114.968,38.546,33.000
1823.000,20140816150313,114.942,38.540,31.000
1824.000,20140809102254,115.321,38.416,15.000
1824.000,20140809114123,115.328,38.403,39.000
1824.000,20140809125555,115.327,38.423,16.000
1824.000,20140809132558,115.321,38.416,17.000
1824.000,20140809151839,115.309,38.410,15.000
1824.000,20140809161623,115.318,38.421,18.000
1824.000,20140816103716,115.321,38.416,34.000
1824.000,20140816111539,115.321,38.416,15.000
1824.000,20140816120808,115.318,38.421,26.000
1824.000,20140816133048,115.328,38.403,30.000
1824.000,20140816141325,115.322,38.406,25.000
1824.000,20140816151112,115.318,38.421,23.000
1824.000,20140816162105,115.339,38.417,37.000
1824.000,20140816171052,115.322,38.406,25.000
1824.000,20140816181734,115.318,38.421,35.000
341.000,20140809101620,115.339,38.417,20.000
341.000,20140809112357,115.321,38.416,33.000
341.000,20140809132946,115.321,38.416,23.000
341.000,20140809140344,115.327,38.423,27.000
341.000,20140809154050,115.318,38.421,33.000
341.000,20140809165151,115.334,38.409,15.000
341.000,20140809170523,115.321,38.416,24.000
341.000,20140816102031,115.326,38.429,20.000
341.000,20140816111441,115.328,38.403,38.000
341.000,20140816120935,115.339,38.417,25.000
341.000,20140816130223,115.339,38.417,38.000
341.000,20140816142440,115.326,38.429,30.000
341.000,20140816150847,115.327,38.423,36.000
341.000,20140816160400,115.328,38.403,27.000
341.000,20140816173656,115.334,38.409,15.000
341.000,20140816181136,115.327,38.423,22.000
1084.000,20140809101837,115.183,39.130,23.000
1084.000,20140809113936,115.172,39.144,33.000
1084.000,20140809124705,115.172,39.144,31.000
1084.000,20140809131800,115.183,39.130,22.000
1084.000,20140809145101,115.174,39.115,38.000
1084.000,20140809151148,115.208,39.083,15.000
1084.000,20140809163542,115.281,39.100,34.000
1084.000,20140809183855,115.281,39.100,31.000
1084.000,20140809192351,115.281,39.100,32.000
1084.000,20140816125105,115.575,38.491,30.000
1084.000,20140816135203,115.577,38.507,24.000
1084.000,20140816141419,115.577,38.507,16.000
1084.000,20140816160653,115.641,38.553,23.000
1084.000,20140816172830,115.689,38.574,26.000
1084.000,20140816185749,115.746,38.681,26.000
1084.000,20140816192026,115.785,38.676,35.000
1085.000,20140809104630,116.088,38.982,4.000
1085.000,20140809113212,116.093,38.979,3.000
1085.000,20140809124200,116.088,38.982,3.000
1085.000,20140809132150,116.068,38.974,3.000
1085.000,20140809140336,116.083,38.973,2.000
1085.000,20140809155619,116.068,38.974,1.000
1085.000,20140809164254,116.088,38.982,1.000
2.000,20140809173515,115.965,39.538,30.000
2.000,20140809185936,115.601,38.913,34.000
2.000,20140809192407,115.623,39.009,33.000
2.000,20140816105445,115.555,38.873,24.000
2.000,20140816114820,115.549,38.899,16.000
2.000,20140816121417,115.549,38.899,31.000
2.000,20140816130746,115.549,38.899,23.000
2.000,20140816140946,115.548,38.912,27.000
2.000,20140816153358,116.077,39.495,21.000
2.000,20140816165528,116.077,39.482,38.000
2.000,20140816173347,115.904,39.389,25.000
2.000,20140816183153,116.077,39.495,20.000
2.000,20140816190741,115.950,39.411,21.000
342.000,20140816151852,115.475,38.874,4.000
342.000,20140816175233,115.475,38.874,3.000
342.000,20140816183959,115.457,38.877,3.000
342.000,20140816193854,115.476,38.870,3.000
707.000,20140809105228,115.493,39.344,24.000
707.000,20140809112340,115.497,39.354,33.000
707.000,20140809122721,115.509,39.336,39.000
707.000,20140809131623,115.509,39.336,29.000
707.000,20140809142608,115.509,39.336,35.000
707.000,20140809163226,115.509,39.336,16.000
707.000,20140809180111,115.444,39.231,37.000
707.000,20140816112221,115.495,39.349,19.000
707.000,20140816125256,115.495,39.349,20.000
707.000,20140816134708,115.509,39.336,39.000
707.000,20140816154340,115.493,39.344,35.000
707.000,20140816165916,115.509,39.336,33.000
707.000,20140816170056,115.493,39.344,22.000
707.000,20140816184409,115.493,39.344,19.000
707.000,20140816190001,115.493,39.344,38.000
2547.000,20140809100543,114.941,38.592,3.000
2547.000,20140809112803,114.947,38.567,4.000
2547.000,20140809122742,114.947,38.567,1.000
2547.000,20140809135502,114.940,38.552,4.000
2547.000,20140809140459,114.921,38.544,2.000
2547.000,20140809163452,114.942,38.540,3.000
2547.000,20140809174449,114.977,38.559,1.000
2547.000,20140809185226,114.921,38.544,1.000
2547.000,20140809191542,114.941,38.592,4.000
708.000,20140809103540,115.353,38.952,20.000
708.000,20140809113538,115.353,38.952,32.000
708.000,20140809120103,115.327,38.950,18.000
708.000,20140809130430,115.334,38.956,20.000
708.000,20140809145905,115.353,38.952,32.000
708.000,20140809152941,115.375,38.894,39.000
708.000,20140809163242,115.394,38.867,25.000
708.000,20140809170626,115.348,38.939,33.000
708.000,20140809182742,115.353,38.952,26.000
708.000,20140809190146,115.348,38.939,22.000
708.000,20140816100557,115.457,38.853,15.000
708.000,20140816110653,115.348,38.939,34.000
708.000,20140816125558,115.353,38.952,28.000
708.000,20140816135352,115.337,38.943,28.000
708.000,20140816144901,115.369,38.879,39.000
708.000,20140816150135,115.443,38.865,16.000
708.000,20140816160557,115.401,38.856,33.000
708.000,20140816172921,115.348,38.939,28.000
708.000,20140816182629,115.314,38.951,29.000
1086.000,20140809105309,115.547,38.867,16.000
1086.000,20140809111554,115.562,38.848,26.000
1086.000,20140809121706,115.562,38.848,30.000
1086.000,20140809135243,115.547,38.867,37.000
1086.000,20140809145240,115.505,38.880,22.000
1086.000,20140809153508,115.533,38.883,20.000
1086.000,20140809160649,115.529,38.869,24.000
1086.000,20140809174050,115.566,38.870,24.000
1086.000,20140809184405,115.547,38.867,26.000
1086.000,20140816102536,115.547,38.867,33.000
1086.000,20140816110315,115.504,38.865,20.000
1086.000,20140816130616,115.547,38.867,20.000
1086.000,20140816143340,115.547,38.867,16.000
1086.000,20140816155008,115.566,38.870,30.000
1086.000,20140816162021,115.525,38.876,15.000
1086.000,20140816173851,115.555,38.873,18.000
1086.000,20140816184031,115.566,38.870,31.000
1086.000,20140816191021,115.485,38.858,34.000
1825.000,20140816101214,115.524,38.890,25.000
1825.000,20140816113527,115.866,39.052,33.000
1825.000,20140816124142,115.866,39.052,20.000
1825.000,20140816130230,115.762,39.052,28.000
1825.000,20140816145051,115.469,38.877,34.000
1825.000,20140816155727,115.473,38.886,17.000
1825.000,20140816161431,115.469,38.877,32.000
1825.000,20140816172735,115.469,38.868,24.000
1825.000,20140816183532,115.481,38.876,37.000
1825.000,20140816191546,115.475,38.874,21.000
343.000,20140809112958,115.578,38.482,3.000
343.000,20140809122231,115.618,38.476,4.000
343.000,20140809143008,115.589,38.481,1.000
343.000,20140809152046,115.589,38.481,3.000
343.000,20140809164715,115.578,38.482,1.000
343.000,20140816105456,115.575,38.491,3.000
343.000,20140816122406,115.578,38.482,2.000
343.000,20140816164744,115.618,38.476,3.000
343.000,20140816171745,115.588,38.490,4.000
2173.000,20140809115758,114.902,38.558,2.000
2173.000,20140809122858,114.902,38.558,3.000
2173.000,20140809132739,114.902,38.558,1.000
2173.000,20140809194619,114.895,38.516,3.000
2548.000,20140809125143,115.453,38.847,3.000
2548.000,20140809145820,115.465,38.841,3.000
2548.000,20140809151953,115.450,38.864,3.000
2548.000,20140809171922,115.353,38.998,1.000
2548.000,20140809185406,115.446,38.855,3.000
2548.000,20140809190649,115.453,38.850,1.000
2548.000,20140816103342,115.440,38.852,2.000
2548.000,20140816110729,115.432,38.852,4.000
2548.000,20140816154954,115.453,38.847,3.000
2548.000,20140816163917,115.453,38.850,1.000
2548.000,20140816173413,115.453,38.850,3.000
2548.000,20140816182459,115.453,38.850,1.000
2174.000,20140809104656,116.107,39.093,1.000
2174.000,20140809113505,116.107,39.093,2.000
2174.000,20140816101537,116.047,39.092,4.000
2174.000,20140816112803,116.107,39.093,4.000
2174.000,20140816125806,116.038,39.133,1.000
2174.000,20140816135343,115.536,39.071,3.000
2174.000,20140816145705,115.171,39.144,2.000
2174.000,20140816182338,115.281,39.100,3.000
2174.000,20140816191847,115.281,39.100,4.000
1826.000,20140809105552,115.448,38.861,27.000
1826.000,20140809115637,115.386,38.861,33.000
1826.000,20140809125121,115.367,38.864,17.000
1826.000,20140809135908,115.351,38.869,39.000
1826.000,20140809142408,115.343,38.843,19.000
1826.000,20140809154433,115.351,38.869,17.000
1826.000,20140809164917,115.343,38.843,28.000
1826.000,20140809174543,115.422,38.867,15.000
1826.000,20140816102505,115.351,38.869,16.000
1826.000,20140816112210,115.351,38.869,35.000
1826.000,20140816134341,115.304,38.887,20.000
1826.000,20140816151832,115.351,38.869,30.000
1826.000,20140816165413,115.343,38.843,33.000
1826.000,20140816173245,115.351,38.869,30.000
344.000,20140809190545,114.724,38.620,3.000
344.000,20140816102446,114.724,38.620,4.000
344.000,20140816113220,114.724,38.620,3.000
344.000,20140816123046,114.698,38.621,2.000
344.000,20140816153031,114.724,38.620,3.000
344.000,20140816160903,114.725,38.634,1.000
344.000,20140816182259,114.725,38.634,3.000
2549.000,20140809105246,115.362,38.435,3.000
2549.000,20140809114538,115.376,38.426,4.000
2549.000,20140809125526,115.376,38.426,2.000
2549.000,20140809130224,115.376,38.426,4.000
2549.000,20140809141400,115.390,38.438,1.000
2549.000,20140809163812,115.376,38.426,2.000
2549.000,20140809171042,115.328,38.437,1.000
2549.000,20140809180855,115.376,38.426,2.000
2549.000,20140816104313,114.065,38.772,4.000
2549.000,20140816145538,113.966,38.785,2.000
2549.000,20140816154714,114.098,38.778,4.000
2549.000,20140816160402,114.141,38.861,4.000
1464.000,20140809100548,115.498,38.858,33.000
1464.000,20140809115940,115.507,38.846,17.000
1464.000,20140809144618,115.507,38.851,34.000
1464.000,20140809154021,115.488,38.853,30.000
1464.000,20140809170235,115.469,38.846,27.000
1464.000,20140809195239,115.504,38.858,35.000
1464.000,20140816122102,115.462,38.865,27.000
1464.000,20140816135224,115.507,38.846,34.000
1464.000,20140816144753,115.511,38.854,25.000
1464.000,20140816152032,115.511,38.854,29.000
1464.000,20140816160555,115.511,38.854,19.000
1464.000,20140816170005,115.511,38.854,34.000
1464.000,20140816182926,115.480,38.859,23.000
1464.000,20140816193647,115.507,38.851,16.000
1087.000,20140809100621,115.517,38.884,17.000
1087.000,20140809115957,115.517,38.884,24.000
1087.000,20140809120601,115.511,38.879,38.000
1087.000,20140809133816,115.445,38.891,18.000
1087.000,20140809145712,115.509,38.887,37.000
1087.000,20140809163737,115.518,38.877,25.000
1087.000,20140809171825,115.443,38.917,25.000
1087.000,20140809191637,115.473,38.886,24.000
1087.000,20140816102454,115.481,38.876,37.000
1087.000,20140816110226,115.476,38.870,30.000
1087.000,20140816122631,115.478,38.871,22.000
1087.000,20140816163538,115.476,38.870,34.000
1087.000,20140816171331,115.505,38.880,17.000
1087.000,20140816184516,115.476,38.885,39.000
1087.000,20140816193045,115.473,38.886,28.000
3.000,20140809105956,115.501,38.831,32.000
3.000,20140809132733,115.516,38.812,22.000
3.000,20140809145408,115.494,38.815,24.000
3.000,20140809155221,115.516,38.812,16.000
3.000,20140809163701,115.494,38.815,35.000
3.000,20140809171528,115.516,38.812,15.000
3.000,20140809180030,115.467,38.831,29.000
3.000,20140816100213,115.466,38.823,25.000
3.000,20140816145856,115.516,38.812,20.000
3.000,20140816151726,115.494,38.815,22.000
3.000,20140816165952,115.494,38.815,34.000
3.000,20140816174505,115.491,38.819,21.000
3.000,20140816182105,115.501,38.838,26.000
2550.000,20140809100045,115.493,39.344,3.000
2550.000,20140809110759,115.491,39.347,1.000
2550.000,20140809123443,115.509,39.336,4.000
2550.000,20140809131913,115.509,39.336,1.000
2550.000,20140809141858,115.489,39.318,1.000
2550.000,20140809172826,115.509,39.336,3.000
2550.000,20140809183626,115.418,39.364,4.000
2550.000,20140816101434,115.509,39.336,4.000
2550.000,20140816120240,115.493,39.344,2.000
2550.000,20140816133430,115.527,39.347,2.000
2550.000,20140816145151,115.509,39.336,2.000
2550.000,20140816155409,115.509,39.336,4.000
2550.000,20140816160330,115.485,39.346,2.000
2550.000,20140816175849,115.493,39.344,1.000
2550.000,20140816180212,115.509,39.336,3.000
2550.000,20140816194226,115.508,39.377,3.000
2551.000,20140809100201,115.499,38.847,32.000
2551.000,20140809114221,115.507,38.837,33.000
2551.000,20140809120728,115.501,38.838,15.000
2551.000,20140809135722,115.507,38.837,32.000
2551.000,20140809151702,115.501,38.831,15.000
2551.000,20140809164623,115.501,38.838,21.000
2551.000,20140809173916,115.507,38.837,19.000
2551.000,20140809184245,115.500,38.819,15.000
2551.000,20140809190602,115.501,38.838,37.000
2551.000,20140816100314,115.507,38.837,36.000
2551.000,20140816113849,115.501,38.838,17.000
2551.000,20140816123706,115.501,38.831,15.000
2551.000,20140816130842,115.501,38.831,30.000
2551.000,20140816142438,115.507,38.837,29.000
2551.000,20140816152920,115.502,38.856,39.000
2551.000,20140816163808,115.507,38.837,31.000
2551.000,20140816172953,115.502,38.856,22.000
1827.000,20140809103308,115.454,38.464,19.000
1827.000,20140809112447,115.451,38.564,30.000
1827.000,20140809124600,115.487,38.850,16.000
1827.000,20140809140241,115.582,38.966,38.000
1827.000,20140809155244,115.415,39.057,24.000
1827.000,20140809164651,115.415,39.057,24.000
1827.000,20140809174212,115.415,39.057,33.000
1827.000,20140809182318,115.415,39.057,30.000
1827.000,20140809192132,115.404,39.077,20.000
1827.000,20140816111700,115.692,38.826,38.000
1827.000,20140816131427,115.669,38.828,16.000
1827.000,20140816144236,115.655,38.837,39.000
1827.000,20140816151451,115.642,38.868,25.000
1827.000,20140816190647,115.555,38.873,16.000
345.000,20140809103902,115.790,38.666,1.000
345.000,20140809110435,115.773,38.675,3.000
345.000,20140809142432,115.775,38.680,4.000
345.000,20140809152940,115.785,38.676,3.000
345.000,20140809164654,115.775,38.680,4.000
345.000,20140809170632,115.773,38.675,3.000
345.000,20140809193244,115.775,38.680,3.000
345.000,20140816100847,115.790,38.666,2.000
345.000,20140816112040,115.773,38.675,3.000
345.000,20140816125420,115.785,38.676,3.000
345.000,20140816143118,115.773,38.675,1.000
345.000,20140816152812,115.775,38.680,3.000
345.000,20140816165042,115.775,38.680,3.000
345.000,20140816175005,115.775,38.680,4.000
1088.000,20140809114803,115.549,38.849,19.000
1088.000,20140809134933,115.569,38.873,27.000
1088.000,20140809144418,115.566,38.870,39.000
1088.000,20140809154138,115.576,38.847,18.000
1088.000,20140809160509,115.512,38.902,39.000
1088.000,20140809194308,115.483,38.865,20.000
1088.000,20140816102405,115.445,38.891,23.000
1088.000,20140816112438,115.491,38.902,20.000
1088.000,20140816121458,115.491,38.909,24.000
1088.000,20140816132236,115.487,38.846,38.000
1088.000,20140816141805,115.487,38.850,31.000
1088.000,20140816153606,115.488,38.853,29.000
1088.000,20140816163136,115.517,38.884,34.000
1088.000,20140816175030,115.337,38.943,24.000
1088.000,20140816183439,115.462,38.911,33.000
2552.000,20140809105625,115.466,38.812,22.000
2552.000,20140809141732,115.466,38.823,37.000
2552.000,20140809162152,115.476,38.870,35.000
2552.000,20140809182140,115.478,38.863,33.000
2552.000,20140816102147,115.466,38.812,36.000
2552.000,20140816110849,115.463,38.817,27.000
2552.000,20140816123527,115.463,38.817,25.000
2552.000,20140816134958,115.466,38.812,31.000
2552.000,20140816150004,115.466,38.823,33.000
2552.000,20140816162948,115.463,38.817,16.000
2552.000,20140816175932,115.466,38.823,21.000
2552.000,20140816181254,115.466,38.812,20.000
2175.000,20140809100759,114.983,38.521,3.000
2175.000,20140809134801,114.975,38.510,1.000
2175.000,20140809142717,114.981,38.516,1.000
2175.000,20140809150459,114.972,38.525,4.000
2175.000,20140809165028,114.975,38.510,2.000
2175.000,20140809174604,114.981,38.516,4.000
2175.000,20140809182216,114.973,38.505,2.000
2175.000,20140816101000,114.974,38.514,3.000
2175.000,20140816110221,114.975,38.510,4.000
2175.000,20140816144227,114.974,38.514,4.000
2175.000,20140816152346,114.975,38.510,4.000
2175.000,20140816165613,114.975,38.510,1.000
2175.000,20140816172204,114.972,38.525,2.000
709.000,20140809100521,115.492,38.858,26.000
709.000,20140809111037,115.443,38.887,20.000
709.000,20140809122708,115.476,38.885,31.000
709.000,20140809164448,115.449,38.902,27.000
709.000,20140809170012,115.449,38.841,20.000
709.000,20140809180226,115.462,38.865,31.000
709.000,20140816101908,115.420,38.893,28.000
709.000,20140816111142,115.506,38.871,34.000
709.000,20140816120624,115.566,38.943,20.000
709.000,20140816130012,116.189,39.087,26.000
709.000,20140816182042,116.250,38.972,35.000
346.000,20140809101312,115.451,38.837,27.000
346.000,20140809113951,115.449,38.841,38.000
346.000,20140809122133,115.449,38.841,26.000
346.000,20140809131135,115.449,38.841,36.000
346.000,20140809144940,115.449,38.841,25.000
346.000,20140809174349,115.453,38.847,23.000
346.000,20140816104417,115.453,38.847,31.000
346.000,20140816114918,115.449,38.841,16.000
346.000,20140816122724,115.449,38.841,23.000
346.000,20140816132542,115.461,38.846,18.000
346.000,20140816152839,115.461,38.846,17.000
346.000,20140816164726,115.449,38.841,28.000
346.000,20140816172121,115.461,38.846,20.000
346.000,20140816182147,115.461,38.846,15.000
4.000,20140809105231,115.459,38.827,35.000
4.000,20140809113348,115.466,38.823,31.000
4.000,20140809122024,115.466,38.812,17.000
4.000,20140809171927,115.466,38.823,22.000
4.000,20140809183650,115.480,38.829,29.000
4.000,20140816102625,115.476,38.817,37.000
4.000,20140816113848,115.466,38.823,17.000
4.000,20140816125159,115.469,38.836,15.000
4.000,20140816135246,115.469,38.836,32.000
4.000,20140816151151,115.466,38.812,23.000
4.000,20140816162450,115.476,38.817,27.000
4.000,20140816173954,115.476,38.817,39.000
710.000,20140809105452,116.044,39.108,15.000
